customer_id,order_id,rating,feedback
1431,3615,5,I am very pleased with the product's taste and freshness; it is of high quality.
1696,446,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
1529,860,4,"The delivery was faster than expected, and the package was well protected."
831,2846,1,The product arrived damaged due to poor packaging.
1479,1541,4,"The courier was friendly, and the delivery arrived promptly."
303,1395,5,Excellent service! The package arrived on time and in perfect condition.
1256,3192,4,"The expiration date was far out, and the product tasted incredibly fresh."
1170,4051,5,"The quality, taste, and freshness of the product were impressive."
33,443,2,"The taste was awful, and the product was not fresh at all."
852,2605,3,"The expiration date was far out, and the product tasted incredibly fresh."
1001,2663,4,I loved the taste; it was fresh and had a long expiration date.
713,309,4,"The product was fresh and delicious, with a satisfactory expiration date."
1859,3180,3,"The quality, taste, and freshness of the product were impressive."
74,4095,1,"There was a mix-up with the delivery, and it took longer than expected."
686,4552,1,"Delivery was delayed, but the product arrived in good condition."
1927,4123,5,Great value for the price; the quality and freshness are excellent.
1788,1642,5,I loved the taste; it was fresh and had a long expiration date.
1690,2971,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
870,4125,1,"Delivery was delayed, but the product arrived in good condition."
1840,2901,5,The taste of the product exceeded my expectations; very fresh and delicious.
406,3529,5,The product tastes great and the freshness is as described.
1896,2084,5,Excellent service! The package arrived on time and in perfect condition.
388,3510,1,"Delivery was delayed, but the product arrived in good condition."
1282,3635,3,"The product was fresh and delicious, with a satisfactory expiration date."
937,536,5,The product tastes great and the freshness is as described.
511,3448,1,The product is not as described; the taste was very disappointing and not fresh.
169,3099,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
846,1671,1,Poor taste and quality; the product wasn't fresh and had a short expiration date.
925,2479,5,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1394,1810,3,Great value for the price; the quality and freshness are excellent.
696,2791,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
614,1483,5,Excellent service! The package arrived on time and in perfect condition.
1647,1377,1,The courier left the package at the wrong address.
947,565,1,"The product tasted bad and wasn't fresh, with an expiration date too soon."
776,1426,3,The courier left the package at the wrong address.
592,39,5,"The product was fresh and delicious, with a satisfactory expiration date."
464,4289,3,Great value for the price; the quality and freshness are excellent.
214,4725,5,"The product was fresh and delicious, with a satisfactory expiration date."
1442,4648,5,"The product was fresh and delicious, with a satisfactory expiration date."
789,4293,5,"The courier was friendly, and the delivery arrived promptly."
1418,4103,1,The product arrived damaged due to poor packaging.
1472,1612,3,"The freshness and taste were top-notch, and the expiration date was well in the future."
521,4161,1,"The expiration date was too close, and the product tasted stale."
1467,1847,1,"Good value for the money, but the freshness could be better."
128,3637,4,"The quality, taste, and freshness of the product were impressive."
1522,4664,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
1259,3051,3,"The quality, taste, and freshness of the product were impressive."
534,138,5,"The courier was friendly, and the delivery arrived promptly."
1152,148,3,I loved the taste; it was fresh and had a long expiration date.
895,4208,3,I am very pleased with the product's taste and freshness; it is of high quality.
498,3421,3,"The expiration date was far out, and the product tasted incredibly fresh."
1293,215,4,"The courier was friendly, and the delivery arrived promptly."
1117,133,4,The product tastes great and the freshness is as described.
1349,3231,1,"The expiration date was too close, and the product tasted stale."
676,1435,3,"The quality, taste, and freshness of the product were impressive."
1322,2723,3,"The quality, taste, and freshness of the product were impressive."
882,1023,5,The taste of the product exceeded my expectations; very fresh and delicious.
1850,32,3,"There was a mix-up with the delivery, and it took longer than expected."
451,2782,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
20,2783,4,Excellent service! The package arrived on time and in perfect condition.
395,3465,1,"Delivery was delayed, but the product arrived in good condition."
1098,114,5,I loved the taste; it was fresh and had a long expiration date.
1259,374,4,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
622,4357,2,"Delivery was delayed, but the product arrived in good condition."
571,2229,5,"The freshness and taste were top-notch, and the expiration date was well in the future."
1291,364,5,I loved the taste; it was fresh and had a long expiration date.
488,2264,1,"There was a mix-up with the delivery, and it took longer than expected."
57,1952,1,The courier left the package at the wrong address.
1819,1617,3,"Delivery was delayed, but the product arrived in good condition."
390,3411,1,The product arrived with defects and did not work properly; the taste was bad and not fresh.
574,3626,3,I loved the taste; it was fresh and had a long expiration date.
1359,4037,3,"The expiration date was far out, and the product tasted incredibly fresh."
821,4177,4,"The courier was friendly, and the delivery arrived promptly."
469,2719,1,Poor taste and quality; the product wasn't fresh and had a short expiration date.
384,4592,1,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1227,886,4,"The quality, taste, and freshness of the product were impressive."
547,1041,4,The product tastes great and the freshness is as described.
1137,92,4,"The expiration date was far out, and the product tasted incredibly fresh."
780,526,2,"There was a mix-up with the delivery, and it took longer than expected."
380,3043,3,The product arrived damaged due to poor packaging.
80,256,5,I was impressed with the speedy delivery and careful packaging.
1264,1581,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
374,2480,3,The courier left the package at the wrong address.
1423,190,1,The product arrived damaged due to poor packaging.
1047,97,2,"Delivery was delayed, but the product arrived in good condition."
483,560,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1881,4172,4,I was impressed with the speedy delivery and careful packaging.
598,2692,4,The delivery was quick and the packaging was secure.
191,56,1,The product is not as described; the taste was very disappointing and not fresh.
1718,890,2,"There was a mix-up with the delivery, and it took longer than expected."
911,674,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1300,1458,5,The delivery was quick and the packaging was secure.
1004,4112,5,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
454,2288,1,The product arrived damaged due to poor packaging.
524,1437,4,"The quality, taste, and freshness of the product were impressive."
129,503,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1988,1393,2,Poor taste and quality; the product wasn't fresh and had a short expiration date.
1487,4311,3,"The delivery was late, and the package was slightly damaged."
1183,2569,1,"The expiration date was too close, and the product tasted stale."
117,4509,4,The delivery was quick and the packaging was secure.
765,2089,5,"The delivery was faster than expected, and the package was well protected."
240,858,2,"There was a mix-up with the delivery, and it took longer than expected."
1077,3444,5,I loved the taste; it was fresh and had a long expiration date.
1740,1364,5,The delivery was quick and the packaging was secure.
1226,4511,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
1566,4578,4,"The delivery was faster than expected, and the package was well protected."
1471,1629,1,"The taste was awful, and the product was not fresh at all."
356,1341,3,The courier left the package at the wrong address.
957,3125,3,I loved the taste; it was fresh and had a long expiration date.
1228,2209,5,Great value for the price; the quality and freshness are excellent.
1646,102,1,Poor taste and quality; the product wasn't fresh and had a short expiration date.
473,388,5,The taste of the product exceeded my expectations; very fresh and delicious.
168,4917,5,Excellent service! The package arrived on time and in perfect condition.
1046,2002,1,"There was a mix-up with the delivery, and it took longer than expected."
1749,2917,1,"The taste was awful, and the product was not fresh at all."
116,4378,3,"There was a mix-up with the delivery, and it took longer than expected."
967,846,3,"The quality, taste, and freshness of the product were impressive."
177,4115,3,The courier left the package at the wrong address.
537,4526,1,The courier left the package at the wrong address.
1385,4778,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1122,3802,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
706,620,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
1376,3456,5,Great value for the price; the quality and freshness are excellent.
1569,1054,4,"The delivery was faster than expected, and the package was well protected."
231,1812,4,"The courier was friendly, and the delivery arrived promptly."
797,909,4,The taste of the product exceeded my expectations; very fresh and delicious.
1136,4183,1,The product is not as described; the taste was very disappointing and not fresh.
1356,212,2,Poor taste and quality; the product wasn't fresh and had a short expiration date.
298,4919,3,"The quality, taste, and freshness of the product were impressive."
1169,208,3,"The delivery was late, and the package was slightly damaged."
1762,4482,2,"Delivery was delayed, but the product arrived in good condition."
1303,2114,2,The product is not as described; the taste was very disappointing and not fresh.
295,1100,1,The product arrived with defects and did not work properly; the taste was bad and not fresh.
820,2931,4,I am very pleased with the product's taste and freshness; it is of high quality.
885,2005,3,"The expiration date was far out, and the product tasted incredibly fresh."
1478,209,5,"The product was fresh and delicious, with a satisfactory expiration date."
190,3354,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1292,4188,5,I was impressed with the speedy delivery and careful packaging.
442,3803,1,"The product tasted bad and wasn't fresh, with an expiration date too soon."
532,2695,2,"The delivery was late, and the package was slightly damaged."
76,4521,3,The product arrived damaged due to poor packaging.
13,4693,2,"The taste was awful, and the product was not fresh at all."
1329,726,1,"There was a mix-up with the delivery, and it took longer than expected."
810,2326,1,Very disappointed with the taste and freshness of the product; the expiration date was near.
345,4892,2,"Good value for the money, but the freshness could be better."
338,1736,2,"Delivery was delayed, but the product arrived in good condition."
1078,380,2,"There was a mix-up with the delivery, and it took longer than expected."
1571,4750,4,"The product was fresh and delicious, with a satisfactory expiration date."
464,624,5,I was impressed with the speedy delivery and careful packaging.
1217,4260,4,The product tastes great and the freshness is as described.
1666,3956,4,"The expiration date was far out, and the product tasted incredibly fresh."
669,4631,1,"Good value for the money, but the freshness could be better."
945,915,3,The courier left the package at the wrong address.
1354,2363,5,Great value for the price; the quality and freshness are excellent.
1717,4787,5,"The product was fresh and delicious, with a satisfactory expiration date."
786,2964,3,Great value for the price; the quality and freshness are excellent.
601,2091,2,"The expiration date was too close, and the product tasted stale."
502,4935,5,The product tastes great and the freshness is as described.
1005,4219,3,The courier left the package at the wrong address.
254,4886,4,Excellent service! The package arrived on time and in perfect condition.
1167,46,1,"The delivery was late, and the package was slightly damaged."
1652,128,2,"The taste was awful, and the product was not fresh at all."
1331,3353,3,The taste of the product exceeded my expectations; very fresh and delicious.
1204,4805,4,"The product was fresh and delicious, with a satisfactory expiration date."
645,1075,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
1384,3315,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
570,2189,4,The taste of the product exceeded my expectations; very fresh and delicious.
1161,1778,2,"Delivery was delayed, but the product arrived in good condition."
897,3120,3,I am very pleased with the product's taste and freshness; it is of high quality.
945,1347,5,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
581,2651,4,The taste of the product exceeded my expectations; very fresh and delicious.
985,2394,4,Great value for the price; the quality and freshness are excellent.
992,3951,4,"The expiration date was far out, and the product tasted incredibly fresh."
967,1967,2,The courier left the package at the wrong address.
1588,800,3,I am very pleased with the product's taste and freshness; it is of high quality.
719,1052,2,"The expiration date was too close, and the product tasted stale."
1083,4647,3,The product tastes great and the freshness is as described.
1669,2072,3,"The product was fresh and delicious, with a satisfactory expiration date."
459,504,4,The delivery was quick and the packaging was secure.
740,2579,3,The product arrived damaged due to poor packaging.
113,3011,4,"The quality, taste, and freshness of the product were impressive."
1572,3189,5,Great value for the price; the quality and freshness are excellent.
632,693,5,Great value for the price; the quality and freshness are excellent.
734,3472,1,Very disappointed with the taste and freshness of the product; the expiration date was near.
567,3878,3,"The delivery was late, and the package was slightly damaged."
60,1609,3,"The delivery was late, and the package was slightly damaged."
1162,4210,5,Excellent service! The package arrived on time and in perfect condition.
1035,3281,1,"The expiration date was too close, and the product tasted stale."
53,2949,5,The product tastes great and the freshness is as described.
1879,3201,2,"The expiration date was too close, and the product tasted stale."
226,4799,4,The delivery was quick and the packaging was secure.
29,832,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1007,1307,5,The delivery was quick and the packaging was secure.
649,2560,1,Very disappointed with the taste and freshness of the product; the expiration date was near.
16,217,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1126,785,1,Very disappointed with the taste and freshness of the product; the expiration date was near.
656,3359,4,"The quality, taste, and freshness of the product were impressive."
1578,2845,4,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1103,2574,1,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1652,4477,4,"The product was fresh and delicious, with a satisfactory expiration date."
175,2166,2,"The expiration date was too close, and the product tasted stale."
347,673,5,The taste of the product exceeded my expectations; very fresh and delicious.
837,1357,3,The product arrived damaged due to poor packaging.
35,482,1,The product arrived damaged due to poor packaging.
462,130,3,"The expiration date was far out, and the product tasted incredibly fresh."
1436,151,1,"Delivery was delayed, but the product arrived in good condition."
1662,2891,3,"There was a mix-up with the delivery, and it took longer than expected."
323,4838,2,"The delivery was late, and the package was slightly damaged."
1757,1991,2,"Delivery was delayed, but the product arrived in good condition."
666,4550,5,I loved the taste; it was fresh and had a long expiration date.
1968,2122,2,"The taste was awful, and the product was not fresh at all."
520,575,3,I am very pleased with the product's taste and freshness; it is of high quality.
717,998,3,"There was a mix-up with the delivery, and it took longer than expected."
1308,2742,3,"There was a mix-up with the delivery, and it took longer than expected."
1225,2224,3,The product arrived damaged due to poor packaging.
588,827,3,"The freshness and taste were top-notch, and the expiration date was well in the future."
1307,2482,5,"The product was fresh and delicious, with a satisfactory expiration date."
145,3392,3,I am very pleased with the product's taste and freshness; it is of high quality.
1728,2240,1,"Delivery was delayed, but the product arrived in good condition."
949,112,1,"The product tasted bad and wasn't fresh, with an expiration date too soon."
686,1885,3,The product arrived damaged due to poor packaging.
474,1090,3,"Delivery was delayed, but the product arrived in good condition."
2,4865,4,"The courier was friendly, and the delivery arrived promptly."
1008,2847,5,"The product was fresh and delicious, with a satisfactory expiration date."
327,3737,1,Very disappointed with the taste and freshness of the product; the expiration date was near.
1238,1143,5,"The quality, taste, and freshness of the product were impressive."
1587,1852,4,The product tastes great and the freshness is as described.
64,2813,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
821,4426,1,The product arrived damaged due to poor packaging.
1670,449,3,"Delivery was delayed, but the product arrived in good condition."
812,1264,5,Excellent service! The package arrived on time and in perfect condition.
613,1693,1,The courier left the package at the wrong address.
800,1287,3,The courier left the package at the wrong address.
1662,1246,2,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1547,4816,2,"The taste was awful, and the product was not fresh at all."
1445,1563,5,The product tastes great and the freshness is as described.
725,4481,5,The taste of the product exceeded my expectations; very fresh and delicious.
614,4961,4,I was impressed with the speedy delivery and careful packaging.
1640,498,4,"The courier was friendly, and the delivery arrived promptly."
1918,3729,1,Very disappointed with the taste and freshness of the product; the expiration date was near.
939,331,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
324,1626,4,I was impressed with the speedy delivery and careful packaging.
310,1062,1,"The expiration date was too close, and the product tasted stale."
1716,1552,2,"The taste was awful, and the product was not fresh at all."
723,3947,4,Great value for the price; the quality and freshness are excellent.
1151,2055,4,Excellent service! The package arrived on time and in perfect condition.
866,1764,1,"Delivery was delayed, but the product arrived in good condition."
330,122,4,I loved the taste; it was fresh and had a long expiration date.
1176,4171,5,"The courier was friendly, and the delivery arrived promptly."
1883,1112,4,The taste of the product exceeded my expectations; very fresh and delicious.
1109,1467,4,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1114,1412,5,The product tastes great and the freshness is as described.
37,901,4,"The product was fresh and delicious, with a satisfactory expiration date."
250,317,4,The taste of the product exceeded my expectations; very fresh and delicious.
1680,416,4,I was impressed with the speedy delivery and careful packaging.
782,1506,5,"The freshness and taste were top-notch, and the expiration date was well in the future."
780,2694,1,The courier left the package at the wrong address.
757,250,3,"Delivery was delayed, but the product arrived in good condition."
206,233,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
717,3732,4,I loved the taste; it was fresh and had a long expiration date.
1780,4998,4,The product tastes great and the freshness is as described.
723,1891,4,"The product was fresh and delicious, with a satisfactory expiration date."
903,3484,5,The delivery was quick and the packaging was secure.
1360,494,4,"The product was fresh and delicious, with a satisfactory expiration date."
167,4803,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
611,4299,4,"The freshness and taste were top-notch, and the expiration date was well in the future."
925,3568,1,"The taste was awful, and the product was not fresh at all."
1154,1389,5,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1577,865,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
22,1028,3,"The product was fresh and delicious, with a satisfactory expiration date."
1570,4770,5,Excellent service! The package arrived on time and in perfect condition.
581,4144,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1020,2586,4,The taste of the product exceeded my expectations; very fresh and delicious.
1873,4495,3,The product tastes great and the freshness is as described.
1555,4000,5,Great value for the price; the quality and freshness are excellent.
456,4020,2,The courier left the package at the wrong address.
1287,4752,3,The courier left the package at the wrong address.
1041,454,2,The product arrived damaged due to poor packaging.
86,1680,2,"The delivery was late, and the package was slightly damaged."
674,3302,1,"The product tasted bad and wasn't fresh, with an expiration date too soon."
16,4995,2,"There was a mix-up with the delivery, and it took longer than expected."
1409,3910,3,The product tastes great and the freshness is as described.
1499,3655,2,"Good value for the money, but the freshness could be better."
177,1402,1,"The expiration date was too close, and the product tasted stale."
322,1867,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
631,763,2,"The expiration date was too close, and the product tasted stale."
265,3373,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1293,707,5,"The delivery was faster than expected, and the package was well protected."
566,1046,2,The product is not as described; the taste was very disappointing and not fresh.
785,3546,1,"The expiration date was too close, and the product tasted stale."
1809,2454,3,"The product was fresh and delicious, with a satisfactory expiration date."
1565,109,4,"The courier was friendly, and the delivery arrived promptly."
1337,4002,5,"The delivery was faster than expected, and the package was well protected."
242,1604,5,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1557,789,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1428,2263,5,"The delivery was faster than expected, and the package was well protected."
165,3706,1,"Good value for the money, but the freshness could be better."
479,3657,1,"The taste was awful, and the product was not fresh at all."
591,4433,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1514,4859,3,I am very pleased with the product's taste and freshness; it is of high quality.
1234,4315,3,The product tastes great and the freshness is as described.
653,4198,3,I am very pleased with the product's taste and freshness; it is of high quality.
95,4549,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1297,1093,2,The product is not as described; the taste was very disappointing and not fresh.
178,3022,5,Great value for the price; the quality and freshness are excellent.
1178,61,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
564,480,3,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
1789,1639,2,The courier left the package at the wrong address.
433,235,5,"The expiration date was far out, and the product tasted incredibly fresh."
1764,736,2,Poor taste and quality; the product wasn't fresh and had a short expiration date.
1608,1761,5,I was impressed with the speedy delivery and careful packaging.
610,1181,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1947,4057,1,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1926,4264,3,I am very pleased with the product's taste and freshness; it is of high quality.
1428,4978,3,"The expiration date was far out, and the product tasted incredibly fresh."
155,3577,1,"The product tasted bad and wasn't fresh, with an expiration date too soon."
1728,1776,2,The product is not as described; the taste was very disappointing and not fresh.
490,2776,1,"Good value for the money, but the freshness could be better."
1681,568,4,"The delivery was faster than expected, and the package was well protected."
479,744,4,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
569,2711,5,Very satisfied with the purchase; the quality is outstanding and the product is very fresh.
224,3266,5,"The delivery was faster than expected, and the package was well protected."
414,2875,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
177,2675,1,The product arrived with defects and did not work properly; the taste was bad and not fresh.
1340,602,1,"There was a mix-up with the delivery, and it took longer than expected."
1770,2046,5,The delivery was quick and the packaging was secure.
1907,2421,4,"The delivery was faster than expected, and the package was well protected."
538,1105,3,"There was a mix-up with the delivery, and it took longer than expected."
875,1890,2,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
433,2327,4,I loved the taste; it was fresh and had a long expiration date.
853,1280,2,"The product tasted bad and wasn't fresh, with an expiration date too soon."
905,2568,1,"The expiration date was too close, and the product tasted stale."
1466,2447,2,"The taste was awful, and the product was not fresh at all."
257,4455,1,"The product tasted bad and wasn't fresh, with an expiration date too soon."
669,3429,4,The product tastes great and the freshness is as described.
205,921,3,"Delivery was delayed, but the product arrived in good condition."
1317,687,2,The product arrived with defects and did not work properly; the taste was bad and not fresh.
530,3161,3,"The product was fresh and delicious, with a satisfactory expiration date."
813,2536,4,I was impressed with the speedy delivery and careful packaging.
831,2273,4,I am very pleased with the product's taste and freshness; it is of high quality.
1260,3808,2,The product arrived damaged due to poor packaging.
745,2587,4,The taste of the product exceeded my expectations; very fresh and delicious.
1602,1131,2,"Delivery was delayed, but the product arrived in good condition."
703,1880,2,"The product broke after a few uses; not worth the price, and it wasn't fresh."
1874,2104,3,The product tastes great and the freshness is as described.
1122,452,2,Very disappointed with the taste and freshness of the product; the expiration date was near.
1566,1690,2,"Quality is below average; I'm not satisfied with the purchase, and it wasn't fresh."
1994,1509,4,I am very pleased with the product's taste and freshness; it is of high quality.
257,778,5,"The expiration date was far out, and the product tasted incredibly fresh."
670,574,2,The product is not as described; the taste was very disappointing and not fresh.
414,3321,5,"The courier was friendly, and the delivery arrived promptly."
712,2972,5,I am very pleased with the product's taste and freshness; it is of high quality.
